edge_index,u_lon,u_lat,v_lon,v_lat
0,-122.390902,37.7860172,-122.3646896,37.8104574
1,-122.390902,37.7860172,-122.3915799,37.7855817
2,-122.390902,37.7860172,-122.3928105,37.783721
3,-122.4236705,37.731371,-122.4203647,37.7316169
4,-122.4236705,37.731371,-122.415164,37.7320411
5,-122.4236705,37.731371,-122.4321016,37.7320575
6,-122.4132611,37.7327065,-122.4015296,37.7379996
7,-122.4132611,37.7327065,-122.4076986,37.740917
8,-122.4132611,37.7327065,-122.4141894,37.7323228
9,-122.4034504,37.8050417,-122.4036563,37.8049634
10,-122.4034504,37.8050417,-122.4033518,37.805123
11,-122.4034504,37.8050417,-122.4031918,37.8048548
12,-122.4034504,37.8050417,-122.4059603,37.8066266
13,-122.4034504,37.8050417,-122.403462,37.8044904
14,-122.4164837,37.7990541,-122.417328,37.7989484
15,-122.3911917,37.7705805,-122.3911048,37.7696737
16,-122.3911917,37.7705805,-122.3912318,37.7709988
17,-122.3911917,37.7705805,-122.3895885,37.7706766
18,-122.3911917,37.7705805,-122.3928533,37.7704808
19,-122.3927659,37.7695721,-122.3911048,37.7696737
20,-122.3927659,37.7695721,-122.3944287,37.7694731
21,-122.3927659,37.7695721,-122.3928533,37.7704808
22,-122.3911048,37.7696737,-122.3909224,37.7677721
23,-122.3911048,37.7696737,-122.3895013,37.7697631
24,-122.3894111,37.7711091,-122.3896285,37.771096
25,-122.3894111,37.7711091,-122.3895081,37.7720119
26,-122.3894111,37.7711091,-122.3893699,37.7706897
27,-122.3894111,37.7711091,-122.3878323,37.7712048
28,-122.3866019,37.771278,-122.3878323,37.7712048
29,-122.3866019,37.771278,-122.3869899,37.7721675
30,-122.3866019,37.771278,-122.3864767,37.7708625
31,-122.3864767,37.7708625,-122.3863311,37.7690188
32,-122.3864767,37.7708625,-122.387792,37.7707844
33,-122.3863311,37.7690188,-122.3876163,37.7689303
34,-122.3863311,37.7690188,-122.3861439,37.7671089
35,-122.3876163,37.7689303,-122.387792,37.7707844
36,-122.3876163,37.7689303,-122.3891909,37.768836
37,-122.4118788,37.8053702,-122.413529,37.8051503
38,-122.4118788,37.8053702,-122.4119718,37.8058335
39,-122.4118788,37.8053702,-122.4117828,37.8048939
40,-122.413529,37.8051503,-122.4136195,37.8056285
41,-122.413529,37.8051503,-122.4134294,37.804684
42,-122.386139,37.723583,-122.386628,37.72304
43,-122.386628,37.72304,-122.388515,37.7241122
44,-122.386628,37.72304,-122.3854326,37.7223841
45,-122.388419,37.7212302,-122.3901961,37.7222322
46,-122.3894613,37.7199375,-122.3907642,37.7216048
47,-122.3894613,37.7199375,-122.3913223,37.7209788
48,-122.3894613,37.7199375,-122.39002,37.719298
49,-122.3894613,37.7199375,-122.3891202,37.7196961
50,-122.39002,37.719298,-122.3868718,37.7175052
51,-122.39002,37.719298,-122.39187,37.720349
52,-122.39002,37.719298,-122.390564,37.718688
53,-122.390564,37.718688,-122.392418,37.71974
54,-122.390564,37.718688,-122.391135,37.7180602
55,-122.390564,37.718688,-122.3900046,37.7183391
56,-122.391135,37.7180602,-122.3915575,37.7175683
57,-122.391135,37.7180602,-122.3920565,37.7185891
58,-122.391135,37.7180602,-122.3892847,37.7169629
59,-122.391593,37.7175125,-122.3915575,37.7175683
60,-122.391593,37.7175125,-122.3900339,37.7161347
61,-122.391593,37.7175125,-122.3924653,37.7178997
62,-122.391593,37.7175125,-122.3920687,37.7169524
63,-122.381564,37.728678,-122.383431,37.729738
64,-122.381564,37.728678,-122.3800251,37.7278041
65,-122.381564,37.728678,-122.382126,37.728051
66,-122.382126,37.728051,-122.383994,37.729112
67,-122.382126,37.728051,-122.3817151,37.7278135
68,-122.382126,37.728051,-122.382687,37.727425
69,-122.382687,37.727425,-122.383248,37.726798
70,-122.382687,37.727425,-122.384556,37.728486
71,-122.382687,37.727425,-122.3823643,37.7272499
72,-122.383248,37.726798,-122.38381,37.726171
73,-122.383248,37.726798,-122.385119,37.72786
74,-122.383248,37.726798,-122.381377,37.725736
75,-122.38381,37.726171,-122.381939,37.725108
76,-122.38381,37.726171,-122.385682,37.727233
77,-122.3851264,37.7250218,-122.386828,37.7259918
78,-122.376989,37.7336422,-122.3768876,37.7327028
79,-122.376989,37.7336422,-122.377614,37.7368343
80,-122.376989,37.7336422,-122.3776537,37.7330737
81,-122.3776537,37.7330737,-122.378354,37.73347
82,-122.3776537,37.7330737,-122.3768876,37.7327028
83,-122.4687333,37.752212,-122.4690369,37.7509076
84,-122.4687333,37.752212,-122.4691197,37.7529373
85,-122.4687333,37.752212,-122.4676348,37.7516387
86,-122.4690178,37.7508087,-122.4690369,37.7509076
87,-122.4690178,37.7508087,-122.4708872,37.7508889
88,-122.4690178,37.7508087,-122.4686316,37.7508352
89,-122.4686316,37.7508352,-122.4685327,37.7492161
90,-122.4686316,37.7508352,-122.4674013,37.7490316
91,-122.4684993,37.7489418,-122.4683702,37.74708
92,-122.4684993,37.7489418,-122.4695653,37.7489068
93,-122.4684993,37.7489418,-122.4674013,37.7490316
94,-122.4683702,37.74708,-122.4665996,37.7472974
95,-122.4683702,37.74708,-122.4684417,37.7471018
96,-122.4711296,37.7863889,-122.4711296,37.7863889
97,-122.4711296,37.7863889,-122.470059,37.7864373
98,-122.4711296,37.7863889,-122.4722023,37.7863403
99,-122.4711296,37.7863889,-122.4709958,37.7845276
100,-122.4709958,37.7845276,-122.4708615,37.7826596
101,-122.4709958,37.7845276,-122.4720688,37.7844788
102,-122.4709958,37.7845276,-122.4699247,37.7845762
103,-122.4708615,37.7826596,-122.4719349,37.7826118
104,-122.4708615,37.7826596,-122.46979,37.7827083
105,-122.4708615,37.7826596,-122.4707277,37.7807976
106,-122.4705849,37.778812,-122.4716588,37.7787631
107,-122.4705849,37.778812,-122.4695124,37.7788608
108,-122.4705849,37.778812,-122.4704505,37.7769424
109,-122.4705849,37.778812,-122.4707189,37.7806758
110,-122.4704505,37.7769424,-122.4693775,37.7769911
111,-122.4704505,37.7769424,-122.4715248,37.7768937
112,-122.4704505,37.7769424,-122.4703166,37.7750785
113,-122.4703166,37.7750785,-122.4713911,37.7750296
114,-122.4703166,37.7750785,-122.469243,37.7751274
115,-122.4703166,37.7750785,-122.4701823,37.7732107
116,-122.4682103,37.7448686,-122.4681611,37.744127
117,-122.4681611,37.744127,-122.4681124,37.7433923
118,-122.4681611,37.744127,-122.4661642,37.7442903
119,-122.4681124,37.7433923,-122.4678017,37.7434179
120,-122.4681124,37.7433923,-122.4691826,37.743342
121,-122.4696804,37.7658342,-122.4696741,37.7657439
122,-122.4696804,37.7658342,-122.4707492,37.7657869
123,-122.4696804,37.7658342,-122.4686071,37.7658816
124,-122.469545,37.7639075,-122.46942,37.762106
125,-122.469545,37.7639075,-122.4696741,37.7657439
126,-122.469545,37.7639075,-122.4706153,37.7638603
127,-122.469545,37.7639075,-122.4684732,37.7639549
128,-122.4692852,37.7601763,-122.4703559,37.7601289
129,-122.4692852,37.7601763,-122.4682138,37.7602235
130,-122.4692852,37.7601763,-122.4691548,37.7583097
131,-122.4692852,37.7601763,-122.469411,37.7619775
132,-122.4691548,37.7583097,-122.4690246,37.7564454
133,-122.4691548,37.7583097,-122.470226,37.7582599
134,-122.4691548,37.7583097,-122.468084,37.7583569
135,-122.4690246,37.7564454,-122.4700967,37.7563982
136,-122.4690246,37.7564454,-122.4679545,37.7564925
137,-122.4690246,37.7564454,-122.4689545,37.7552316
138,-122.4689545,37.7552316,-122.4700302,37.7554422
139,-122.4689545,37.7552316,-122.4684912,37.755052
140,-122.4084965,37.7749327,-122.4083293,37.7747987
141,-122.4083293,37.7747987,-122.4077779,37.7743588
142,-122.4083293,37.7747987,-122.4090894,37.774201
143,-122.4077779,37.7743588,-122.4085358,37.7737601
144,-122.4077779,37.7743588,-122.4068387,37.7751007
145,-122.4815695,37.7906893,-122.4809354,37.790563
146,-122.4815695,37.7906893,-122.4822935,37.7887596
147,-122.4815695,37.7906893,-122.4810574,37.7922152
148,-122.4809354,37.790563,-122.4808543,37.7906099
149,-122.4809354,37.790563,-122.4810111,37.790065
150,-122.3863226,37.7110786,-122.3908983,37.7103454
151,-122.3863226,37.7110786,-122.3887832,37.7146402
